total_spent_usd,,Sample size:,50,,bootstrap_sample,boot_mean,boot_median,,iteration,boot_mean,boot_median,,,
351.9,,Sample mean:,241.7104,,258.19,219.4024,217.32,,1,219.4024,217.32,,,
226.64,,Sample median:,236.925,,301.93,,,,2,250.286,249.41,,Mean CI lowe (2.5%),222.20464
37.59,,,,,248.52,,,,3,236.723,248.52,,Mean CI upper (97.5%),261.38844
277.64,,,,,361.39,,,,4,239.9928,219.85,,Median CI lower (2.5%),217.61
218.36,,,,,226.87,,,,5,230.8388,220.76,,Median CI upper(97.5%),262.695
226.87,,,,,218.36,,,,6,228.2494,218.94,,,
286.23,,,,,197.27,,,,7,236.3946,225.02,,,
236.72,,,,,164.2,,,,8,240.016,236.72,,,
267.2,,,,,226.64,,,,9,240.6226,236.72,,,
88.21,,,,,158.02,,,,10,239.1562,233,,,
174.56,,,,,323.85,,,,11,251.1654,242.62,,,
362.32,,,,,267.2,,,,12,234.6662,243.27,,,
248.52,,,,,250.73,,,,13,237.5128,233,,,
116.12,,,,,237.13,,,,14,237.819,236.72,,,
164.2,,,,,250.31,,,,15,246.2292,242.825,,,
170.59,,,,,204.02,,,,16,238.623,249.41,,,
258.19,,,,,88.21,,,,17,237.0714,243.725,,,
215.39,,,,,277.64,,,,18,255.2918,242.825,,,
197.27,,,,,152.17,,,,19,252.1296,250.52,,,
250.31,,,,,277.19,,,,20,247.4332,243.27,,,
288.22,,,,,179.55,,,,21,242.0184,218.94,,,
229.28,,,,,88.21,,,,22,258.0498,250.52,,,
204.02,,,,,185.85,,,,23,244.2776,236.72,,,
216.28,,,,,210.53,,,,24,242.9562,249.41,,,
277.19,,,,,286.23,,,,25,234.8814,243.72,,,
249.41,,,,,179.55,,,,26,245.537,250.52,,,
311.38,,,,,323.85,,,,27,224.149,227.96,,,
158.02,,,,,292.91,,,,28,232.0516,222.79,,,
187.97,,,,,152.17,,,,29,235.565,228.075,,,
311.85,,,,,218.36,,,,30,245.4222,249.86,,,
185.85,,,,,216.28,,,,31,247.6074,233,,,
360.72,,,,,185.85,,,,32,244.1666,258.19,,,
362.42,,,,,216.28,,,,33,211.0086,218.65,,,
361.39,,,,,250.31,,,,34,241.9698,229.28,,,
179.55,,,,,256.15,,,,35,241.4346,236.72,,,
256.15,,,,,360.72,,,,36,239.1348,242.62,,,
210.53,,,,,170.59,,,,37,255.9322,250.31,,,
323.85,,,,,170.59,,,,38,225.46,220.76,,,
386.53,,,,,197.27,,,,39,231.1492,233,,,
319.89,,,,,116.12,,,,40,238.7404,233.205,,,
250.73,,,,,323.85,,,,41,260.469,263.75,,,
220.76,,,,,185.85,,,,42,246.1212,236.925,,,
301.93,,,,,88.21,,,,43,225.374,217.32,,,
152.17,,,,,152.17,,,,44,222.0098,219.85,,,
292.91,,,,,185.85,,,,45,243.3604,237.13,,,
176.82,,,,,277.19,,,,46,250.0076,249.86,,,
299.64,,,,,250.31,,,,47,236.916,242.825,,,
237.13,,,,,152.17,,,,48,235.9956,229.28,,,
218.94,,,,,170.59,,,,49,221.4416,216.28,,,
179.16,,,,,236.72,,,,50,238.082,233,,,
,,,,,,,,,51,262.6982,262.695,,,
,,,,,,,,,52,261.5384,253.44,,,
,,,,,,,,,53,233.8094,223.7,,,
,,,,,,,,,54,233.7572,233,,,
,,,,,,,,,55,241.7932,242.825,,,
,,,,,,,,,56,241.387,236.72,,,
,,,,,,,,,57,249.0898,249.86,,,
,,,,,,,,,58,238.1128,219.85,,,
,,,,,,,,,59,239.5528,242.62,,,
,,,,,,,,,60,246.4672,250.31,,,
,,,,,,,,,61,252.0102,249.41,,,
,,,,,,,,,62,252.6546,248.52,,,
,,,,,,,,,63,230.3062,228.075,,,
,,,,,,,,,64,230.9526,233.205,,,
,,,,,,,,,65,224.7272,215.835,,,
,,,,,,,,,66,231.77,219.85,,,
,,,,,,,,,67,238.5134,236.925,,,
,,,,,,,,,68,237.6592,236.72,,,
,,,,,,,,,69,231.415,226.64,,,
,,,,,,,,,70,232.8784,226.87,,,
,,,,,,,,,71,235.336,236.925,,,
,,,,,,,,,72,239.5496,226.755,,,
,,,,,,,,,73,232.1964,227.96,,,
,,,,,,,,,74,242.0024,231.795,,,
,,,,,,,,,75,259.0398,253.44,,,
,,,,,,,,,76,231.324,228.075,,,
,,,,,,,,,77,245.3892,226.87,,,
,,,,,,,,,78,251.7758,250.31,,,
,,,,,,,,,79,241.7348,226.87,,,
,,,,,,,,,80,239.642,228.075,,,
,,,,,,,,,81,242.3136,249.86,,,
,,,,,,,,,82,243.0934,237.13,,,
,,,,,,,,,83,240.7768,237.13,,,
,,,,,,,,,84,245.4838,250.07,,,
,,,,,,,,,85,238.85,232,,,
,,,,,,,,,86,229.7344,220.76,,,
,,,,,,,,,87,244.4484,253.44,,,
,,,,,,,,,88,238.765,228.075,,,
,,,,,,,,,89,238.587,229.28,,,
,,,,,,,,,90,239.7816,226.64,,,
,,,,,,,,,91,248.865,249.41,,,
,,,,,,,,,92,246.9846,243.515,,,
,,,,,,,,,93,247.9848,243.27,,,
,,,,,,,,,94,251.0614,250.52,,,
,,,,,,,,,95,236.2792,223.7,,,
,,,,,,,,,96,236.5286,226.755,,,
,,,,,,,,,97,239.5714,226.87,,,
,,,,,,,,,98,247.3372,228.075,,,
,,,,,,,,,99,225.9754,226.64,,,
,,,,,,,,,100,245.4074,250.31,,,
,,,,,,,,,101,239.1878,249.86,,,
,,,,,,,,,102,237.223,248.52,,,
,,,,,,,,,103,250.1736,242.825,,,
,,,,,,,,,104,256.3454,250.31,,,
,,,,,,,,,105,233.4578,238.9,,,
,,,,,,,,,106,261.3936,250.73,,,
,,,,,,,,,107,241.3096,236.72,,,
,,,,,,,,,108,252.2922,249.41,,,
,,,,,,,,,109,240.602,226.87,,,
,,,,,,,,,110,230.6484,226.64,,,
,,,,,,,,,111,244.4534,222.79,,,
,,,,,,,,,112,237.4286,242.825,,,
,,,,,,,,,113,238.3188,233,,,
,,,,,,,,,114,239.0522,223.7,,,
,,,,,,,,,115,244.859,236.72,,,
,,,,,,,,,116,242.488,250.52,,,
,,,,,,,,,117,237.6016,217.61,,,
,,,,,,,,,118,233.1056,219.85,,,
,,,,,,,,,119,241.2968,223.7,,,
,,,,,,,,,120,237.8154,226.755,,,
,,,,,,,,,121,231.8164,229.28,,,
,,,,,,,,,122,251.9532,242.825,,,
,,,,,,,,,123,263.1818,250.73,,,
,,,,,,,,,124,249.2822,263.75,,,
,,,,,,,,,125,248.8684,236.925,,,
,,,,,,,,,126,251.8062,250.07,,,
,,,,,,,,,127,235.3514,220.76,,,
,,,,,,,,,128,253.9908,256.15,,,
,,,,,,,,,129,236.9284,236.925,,,
,,,,,,,,,130,259.006,248.965,,,
,,,,,,,,,131,243.5572,248.52,,,
,,,,,,,,,132,220.7214,217.32,,,
,,,,,,,,,133,240.173,242.825,,,
,,,,,,,,,134,245.9116,233,,,
,,,,,,,,,135,243.478,250.07,,,
,,,,,,,,,136,238.5842,231.795,,,
,,,,,,,,,137,230.814,218.65,,,
,,,,,,,,,138,245.7528,248.965,,,
,,,,,,,,,139,244.1402,236.925,,,
,,,,,,,,,140,220.5578,236.72,,,
,,,,,,,,,141,231.2486,226.755,,,
,,,,,,,,,142,225.2012,226.755,,,
,,,,,,,,,143,254.1486,250.07,,,
,,,,,,,,,144,259.3864,253.44,,,
,,,,,,,,,145,246.9232,226.755,,,
,,,,,,,,,146,236.2798,237.13,,,
,,,,,,,,,147,238.5954,236.925,,,
,,,,,,,,,148,231.0064,243.065,,,
,,,,,,,,,149,240.2704,228.075,,,
,,,,,,,,,150,224.3626,221.015,,,
,,,,,,,,,151,238.346,249.41,,,
,,,,,,,,,152,233.6384,233.205,,,
,,,,,,,,,153,227.5738,226.755,,,
,,,,,,,,,154,250.1592,248.965,,,
,,,,,,,,,155,224.0226,226.64,,,
,,,,,,,,,156,237.5626,226.755,,,
,,,,,,,,,157,255.5724,250.73,,,
,,,,,,,,,158,251.3166,250.73,,,
,,,,,,,,,159,231.8438,216.28,,,
,,,,,,,,,160,250.4518,249.41,,,
,,,,,,,,,161,244.2698,233,,,
,,,,,,,,,162,238.0934,243.065,,,
,,,,,,,,,163,232.8412,218.94,,,
,,,,,,,,,164,247.8578,223.815,,,
,,,,,,,,,165,253.0878,249.41,,,
,,,,,,,,,166,253.3214,250.73,,,
,,,,,,,,,167,250.5422,243.27,,,
,,,,,,,,,168,243.3596,237.13,,,
,,,,,,,,,169,256.0482,236.72,,,
,,,,,,,,,170,240.886,243.27,,,
,,,,,,,,,171,235.3864,236.72,,,
,,,,,,,,,172,229.4832,226.755,,,
,,,,,,,,,173,250.518,243.72,,,
,,,,,,,,,174,255.5218,236.925,,,
,,,,,,,,,175,234.5312,236.72,,,
,,,,,,,,,176,234.1586,242.825,,,
,,,,,,,,,177,240.859,226.755,,,
,,,,,,,,,178,223.7694,219.85,,,
,,,,,,,,,179,238.0978,227.96,,,
,,,,,,,,,180,234.6248,249.86,,,
,,,,,,,,,181,241.7398,231.795,,,
,,,,,,,,,182,251.7292,250.31,,,
,,,,,,,,,183,239.5864,219.85,,,
,,,,,,,,,184,247.7888,250.73,,,
,,,,,,,,,185,272.222,267.2,,,
,,,,,,,,,186,245.502,249.41,,,
,,,,,,,,,187,251.484,242.825,,,
,,,,,,,,,188,258.3664,236.72,,,
,,,,,,,,,189,254.9632,250.73,,,
,,,,,,,,,190,242.885,217.61,,,
,,,,,,,,,191,226.9518,219.56,,,
,,,,,,,,,192,236.146,236.925,,,
,,,,,,,,,193,242.6564,226.87,,,
,,,,,,,,,194,236.7262,229.28,,,
,,,,,,,,,195,237.9462,237.13,,,
,,,,,,,,,196,231.3356,226.755,,,
,,,,,,,,,197,242.0592,233,,,
,,,,,,,,,198,242.479,231.795,,,
,,,,,,,,,199,259.6626,253.23,,,
,,,,,,,,,200,253.2246,248.965,,,
,,,,,,,,,201,237.4572,236.72,,,
,,,,,,,,,202,245.0892,248.965,,,
,,,,,,,,,203,224.0108,220.76,,,
,,,,,,,,,204,253.285,250.73,,,
,,,,,,,,,205,227.715,215.835,,,
,,,,,,,,,206,242.0034,237.13,,,
,,,,,,,,,207,225.6384,225.02,,,
,,,,,,,,,208,249.5682,253.44,,,
,,,,,,,,,209,257.3966,250.73,,,
,,,,,,,,,210,252.756,250.73,,,
,,,,,,,,,211,240.1806,242.62,,,
,,,,,,,,,212,235.109,233,,,
,,,,,,,,,213,235.2426,249.415,,,
,,,,,,,,,214,251.7972,248.965,,,
,,,,,,,,,215,248.573,249.86,,,
,,,,,,,,,216,219.3474,218.36,,,
,,,,,,,,,217,230.9042,226.755,,,
,,,,,,,,,218,250.6576,250.31,,,
,,,,,,,,,219,232.3278,226.755,,,
,,,,,,,,,220,233.277,222.5,,,
,,,,,,,,,221,245.095,226.755,,,
,,,,,,,,,222,241.7608,228.075,,,
,,,,,,,,,223,242.7304,249.41,,,
,,,,,,,,,224,252.0068,243.27,,,
,,,,,,,,,225,241.2612,248.965,,,
,,,,,,,,,226,245.106,236.72,,,
,,,,,,,,,227,251.7722,253.44,,,
,,,,,,,,,228,250.7942,236.72,,,
,,,,,,,,,229,247.5144,249.86,,,
,,,,,,,,,230,247.32,242.825,,,
,,,,,,,,,231,225.465,223.7,,,
,,,,,,,,,232,243.2738,231.795,,,
